turbine_type,0,0.5,1,1.5,2,2.5,3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,13.5,14,14.5,15,15.5,16,16.5,17,17.5,18,18.5,19,19.5,20,20.5,21,21.5,22,22.5,23,23.5,24,24.5,25,25.5,26
"GE 1,5 SLE",0,0,0,0,0,0,0,21320,45690,79830,128660,187270,250780,333850,426720,534270,656490,798290,940080,1060000,1190000,1290000,1370000,1410000,1440000,1470000,1480000,1490000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,0,
"GE 1,5 XLE",0,0,0,0,0,0,0,13980,114190,177690,248540,324280,409810,522240,659140,800940,947620,1130000,1260000,1350000,1420000,1470000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,,0,,0,,0,,0,,0,,
"GE 1,6",0,,0,,0,,1000,16000,81000,163000,259000,378000,504000,643000,808000,984000,1159000,1312000,1426000,1519000,1571000,1594000,1609000,1619000,1620000,1620000,1620000,1620000,1620000,1620000,1620000,1620000,1620000,1620000,1620000,1620000,1620000,1620000,1620000,1620000,1620000,1620000,1620000,1620000,1620000,1620000,1620000,1620000,1620000,1620000,1620000,0,
"GE 2,3",0,,0,,0,,8000,,71000,,187000,,363000,,609000,,934000,,1352000,,1780000,,2113000,,2259000,,2295000,,2300000,,2300000,,2300000,,2300000,,2300000,,2300000,,2300000,,2300000,,2300000,,2300000,,2300000,,2300000,0,
"GE 2,5 XL",0,0,0,0,0,0,0,25710,54290,111430,185710,300000,391430,511430,654290,820000,1000000,1170000,1380000,1640000,1920000,2110000,2260000,2370000,2460000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,0,
"GE 2,75",0,,0,,0,,17000,55000,104000,169000,251000,352000,470000,610000,772000,959000,1170000,1405000,1656000,1899000,2120000,2291000,2441000,2567000,2661000,2730000,2768000,2780000,2780000,2780000,2780000,2780000,2780000,2780000,2780000,2780000,2780000,2780000,2780000,2780000,2780000,2780000,2780000,2780000,2780000,2780000,2780000,2780000,2780000,2780000,2780000,0,
LAGERWEY LW 27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAGERWEY LW 50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# MD 77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MITSUBISHI MWT 1000,0,0,0,0,0,0,0,0,1030,11350,34090,69210,104340,145660,201450,265500,327480,381200,445250,507230,589880,674580,751030,813020,881200,941120,976240,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,0,
MITSUBISHI MWT 1000A,0,0,0,0,0,0,780,27170,53560,90830,131210,182450,246120,305120,365680,444880,519410,592390,676240,749220,826850,887420,937110,975930,989910,1000000,1000000,999220,999220,999220,999220,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,0,
